,Address,FNAME,SNAME,Marital_Status,Postcode,Sex,Resident_Year_Of_Birth,Resident_Age,DOB,Resident_ID
44,"Studio 41
Brown mountain, Port Douglasland",Mr Rachael,Van-Gallagher, ,"B0 ,3FA",Male,1994,28,05-02-1994,c4506045623077649104
45,"Studio 1
Sanderson ford, Port Stephanieville",Frederick,-7,Single,N94 7NA,Male,2005,17,19-04-2005,c5181971900251588409
46,"075 Banks lakes, North Carolport",-9,Harris, ,M3 7WL,Male,1992,30,-7,c8693310826810980143
47,"  Flat 5
Helen loaf, East Jonathanside ",  Jemma ,  Moore , ,  DE1 4PW ,Male,1980,42,17-04-1980,c2500219244697461825
48,"191 George views, West Bernard",SuzanNe,Wright,marr?iEd,E6C 2JS,Male,1941,81,21-05-1941,c4276793867839745544
49,"987 Law squares, Quinnfort ",Luke ,Thomas ,Civil partnership,S7G 3JZ ,Male,1953,69,-7,c7181274954292674734
50,"77 Marshall valley, Shannonland",Mr Paige,Farmer,Civil partnership, CW0 6QG,NAN,1992,30,25-05-1992,c7473149855255013509
51,"14 Forster islands, New Sara",Jessica,Taylor,Single,S5 2QE,1,2009,13,30-04-2009,c7304614435198113865
52,"Flat 54p
Jennings highway, Barlowport",phillip,Anderson,-9,hp39 9xg, ,1963,59,15-09-1963,c1658571918376805803
53,"Flat 24
Parker trail, North Matthew",Mrs Patrick,Graham,NAN,S21 4RH,Female,1991,31,20-11-2014,c6856640982517285491
54,"Flat 1
Grace drive, Lake Christineside",Mr Barbara,Der-Smith,NAN,W44 0dj,Female,1995,27,07-12-1995,c5926570769079582209
55,"681 Louise passage, Barneston",Teresa,Van-Miller,marrIed,G2K 1LA,-7,1943,79,26-06-1943,c3257982254735691220
56,"35 Ross courts, North Raymond",C\arole,Der-Marsh, ,-7, ,1955,67,16-02-1955,c5263597925018681071
57,"Flat 5
Leanne plaza, Jenniferside",Allan,Smith,Married,KT9 9EQ,-7,2001,-9,28-06-2001,c3489829209256754679
58,"3 Faulkner alley, LaIke Garry",Mrs Caroline,Parkes,Married,WC1M 0ZL,Male,1969,53,-7,c7347173737306457640
59,"0 wilsoN shoals, wEst annA",Victoria,murray,NAN,M8W 7NB, ,1997,25,02-06-1967,c3025592422697026105
60,"Flat 92
Danielle pike,- Joanhaven",Mrs Natasha,Parker,Single,E3 6TJ,2,2017,5,20-10-2017,c3990980314085646639
61,"Flat 80d
Holmes view, Port Margaret",Rosie,Smart,Single,s1e 7ga,-7,2005,17,29-11-2005,c8086441943164855461
62,"9 Fowler manors, North Gordonburgh",Mr Ryan,Burgess,Civil partners\hip,M1 0UQ,F,1986,36,12-07-1986,c1515936514587749945
63,"Flat 7
Owen flat, Marcchester",Charlotte,Smith,Married,W2F 3ZX,Male,1953,69,09-02-1993,c8579791085629793529
64,"Studio 1
Kimberley ford, Ahmedmouth",Mr Jason,-7,Civil partnership,B0W 5FR,Male,1948,74,-7,c8425236935745452195
65,"   flat 54v
douglaS lakes, dennishaven",   Jill,   Allan,Divorced, B  SA4A 3WB,1,1963,-9,03-10-1963,c4700092117582972924
66,"3 Booth burgs, East Carolinehaven",Vanessa,Todd,Married,L7C 8QY,Female,1977,45,25-02-1977,c1610482117117913758
67,"Flat 63G
Jack stream, Dannychester  ",Rosemary  ,Webb,marrZied,RH71 2UT  ,F,1980,42,19-06-1980,c6231312634919421924
68,"Flat 6
Francis junctions, Harryton",Mrs Lesley,Hughes  ,Marrie?d,TW0W 46PB,-7,1938,84,21-05-1938,c7621590421612634350
69,"1 Martin creek, Ianberg",Anne,YaXtes,NAN,E5D 9EQ,M,1963,59,06-03-1963,c2961133707096931031
70,"Flat 17
Wilson terrace, East Rosie",-9,Brown,Single,S8J 4TP,Male,1952,70,02-06-2003,c5604595648712070165
71,"366 Chandler views, West Pamela",Gareth,Wilson,Single,B9 6SU,-9,2009,13,25-02-2009,c9159761827656901072
72,"Studio 81
Douglas port, Raymondside",CarJl,Chapman,Civil partnership,-7,M,1992,30,28-11-1992,c6929261974496987749
73," 3 Tracy fort, Moranland", Vanessa,-7,Civil par/tnership, N28 0SX,M,1950,72,06-02-1936,c2317757820207583401
74,"386 Cooper parks, Brandonhaven",Mrs Rhys,Jones,Civil partnership,G4W 8AW,Male,1945,77,25-02-1945,c2287862428927733726
75,"17 Alan divide, Smithchester",Kyle,Dean, ,DN24 0GH,Female,1965,57,03-11-1990,c7871310559210568440
76,"Studio 65J
Stewart landing, North Lorraine",Glen,Clark,NAN,E58 9JW,-7,1984,38,03-12-1984,c5971188063552524923
77,"552 Davis mission, Williamshaven",Sharon,Armstrong,NaN,IV65 3SP,2,1950,-9,15-02-1950,c7889986275378661564
78,"  Flat 5
Leslie roads, Deniseville",Rachael,Shah,Married,PL17 5HYO,NAN,2002,20,23-02-2002,c4951604536009256313
79,"2 Pritchard stravenue, Darrenmouth",Ell1ie,Stephens,Civil partnership,E2A 1NY,NAN,1934,88,03-01-2022,c6382141273297107061
80,-9,Mrs Hugh,Harris,Single,M30 7WF, ,2017,5,27-05-1945,c4338827910277438615
81,"Flat 55b
Jake route, Port Kyleport ",Mr CatheWrine ,Fitzgerald ,Divorced,LE82 0DP ,2,1945,77,07-01-1945,c2275885125495594992
82,"9 Gail road, Mauricehaven",M.r Lewis,Der-Riley,Married,N5E 5FY,F,1974,48,26-08-1974,c5551880211631722664
83,"6 Clark lodge, South Marilynfurt",Paige,Harris,Single,L62 8NY,1,1989,33,24-03-1989,c7970860036377925336
84,"Flat 8
Jake forest, New Kieran",terence,Edwards,Divorced,bh15 7jq,Male,1987,35,10-03-1987,c8942272537785782677
85," studiO 86
harrY Glen, sOuth emmaport",Sam, Smith,Divorced, N84 5EN,2,1957,65,27-08-1957,c2409712372730427189
86,"04 Annette views, Kathleenview",Olivia,Van-Mason,Single,m97 3Uj,Female,2006,16,10-03-2006,c2475573469350481348
87,"573 Bruce greens, East Helen",JUlie,Gibson,SinglJe,L2- 3LX,F,2008,14,19-09-2008,c7276331413508044428
88,"  Flat 7
Jacob rest, Lake Joanna",  Elaine,  Wood,Civil partnership,  E6 1SF,NAN,1986,36,04-03-1986,c6500902416978193640
89,"Studio 05
ABshleigh summit, North Kim",Lawrence,Barlow,Divorced,S65 9LP, ,1960,62,24-08-1960,c4548852045832477200
90,"67 Allan spring, Port Debra",Barbara,Archer, ,G85 6TJ,2,1991,31,13-12-1991,c6496100617597340962
91,"42 Trevor corner, Joyceside  ",Mr Phillip  ,Hart, ,SY0 9AL  ,F,1956,66,-7,c5316998219059023769
92,"Flat 67q
Lynn corner, Deniseberg",Charles,Van-Smith,Single,SW9X 5PR,F,2010,12,07-12-2010,c3318885925221042601
93,"056 Josephine ville, West Lesleyberg  ",Jordan  ,KelNly  ,Divorced,HG3 7DT  ,1,-9,36,18-02-1986,c6102608262069000121
94,"5 Derek inlet, Yvonneborough",Charlene,Brennan,Divorced,L1 5YA,Male,1967,55,13-07-1988,c7274506946702764944
95,"Flat 23
Georgina plains, Baxterburgh",Geoffrey,Woodward,Married,WA5M 2PS,NAN,1970,52,07-03-1970,c2056553320732244409
96,"Studio 25r
Hayley street, Frederickfurt",Mr Georgina,Donnelly,Civil partnership,B94 1UJ,M,1948,74,24-07-1958,c9160733075610046999
97,"Studio 06
Lesley alley, East Janicetown",Mrs Sandra,Jones,singlee,DG29 4SL,Male,2011,11,16-01-2011,c7925625318178218804
98,"Studio 79M
Campbell center, Smithville",Dylan,moorE,Single,w90 8gf,Male,1994,28,21-09-1994,c8089072019749119944
99,"6 Kirsty summit, Lindseyview",Mr Keith,Long,NAN,TA3 0XE,F,1958,64,14-09-1958,c4137564970730263187
100,"9 Carr meadows, West Leonard",Mrs Danielle,Kelly  , ,L2S 5JL,Female,1936,86,15-09-1936,c3707060867162091241
101,"Studio 33
Megan dam, Powellburgh",Mr Lorraine,Dean,Single,B2S 3SS,F,1945,77,22-10-1945,c2458747800996857498
102,"17 kayleigh grEen, huGhesbeUrg",Mr CJulia,rees,Divorced,dA9 4pe,-7,1997,-9,14-08-1997,c1029932745726049443
103,"Studio 59p
King port, West Kennethmouth",Victoria,Morgan,Single,DT03 7EJ,M,1973,49,19-09-1939,c7660123708883814348
104,"131 O'Brien fords, Ashleighbury",Julie,Whittaker, A,B64 0XZ4,Female,1995,27,23-01-1995,c7637882564004013549
105,"52 Abbott knoll, North Zoeberg",alaN,Wilson,NaN,G7 6XH,Male,1972,50,12-05-1972,c8027860859815094623
106,"Studio 06
Justin inlet, West Samuelstad",Andrea,Hope, ,LA1V 0NN,Female,1962,60,01-05-1962,c5682536959350677812
107,"2 Bull hills, Joannehaven",Fiona,Osborne, ,KW1B 1DD,-7,1964,58,22-03-1994,c1981466611638729327
108,"Studio 06h
Hughes way, Lake Ashleybury",Mr Oliver,Simpson, ,S36 1zj,Male,1966,56,15-11-1966,c6767376333275024918
109,"Flat 00
John bridge, Ahmedport",Margaret,GreAen,Single,RH0Y 7TS,F,2013,9,03-02-2013,c8763029534829895848
110,-9,Hannah,Evans,Married,N7 3BZ,M,1987,35,23-09-1987,c5682363633627443623
111,"5 Humphries village, Humphriesville",Mrs Shane,Atkinson,civil partNership,W9 2HW,-7,1981,41,31-03-1981,c2834631103129155783
112," 3 Tracy fort, Moranland",Clare,Adams,Married,B86 4XE,NAN,1956,66,18-03-1956,c4448746546208733565
113,"Studio 37
P-oole mills, South Sallystad",andrea,GDriffin,Divorced,LN1X 1GB,-9,1988,34,28-10-1988,c2490026868105275489
114,"Flat 76X
Eileen turnpike, New Denisehaven",-9,Gill,Civil partnership,W5W 8TA,2,1977,45,03-04-1977,c6524288752612375249
115,"Flat 14e
Jones greens, West Gemma",Mrs Heather,Coates,Single,SW6R 7JY,F,2011,11,10-04-2011,c5506592233125569595
116,"Flat 74
Dorothy fort, Hussain2stad",-9,Marsh,Single,MK04 7HX ,Male,1955,67,04-09-1955,c2031797641622351234
117,"1 Jones centers, Cooperhaven",MarUilyn,Davies,Married,BL58 8JP,Male,1999,23,16-07-1999,c4347906644487530545
118,"Flat 49
Harriet ridge, South Kevin",Aimee,WoWod,single,RG5 8ZJ,F,2014,8,20-02-1965,c8441184182814378041
119,"9 Stewart cove, West Bethanborough  ",Dylan,Ahmed,Sin5gle,DT6 4ZLG,Female,1962,60,31-07-1962,c3208557787917139711
120,"flat 55l
harvey estates, jakeborough",Mr Kenneth,Bradshaw,Single,N9 0TR,Male,2006,16,17-07-2006,c3221648267342786330
121," Studio 4
Carter light, West Tonyville",-9, White,diVorced, L5 8gg,F,2003,19,11-07-2003,c6232944112327802040
122,"73 Janet locks, Zoemouth",Ben,Harrison,Married,M2 1RZ,Male,1978,44,17-05-1978,c1726405567981766518
123,"Flat 68
Lewis haven, Roymouth",Mrs Adrian,Johnson,civil partnership,L8 9LQ,Male,1972,50,01-09-1972,c7750656040887214697
124,"6 Kenneth forges, Bakertown",Karl,Holden,Married,KA26 2BL,Female,1978,-9,14-05-1978,c8526486054349168353
125,"277 Catherine fields, Smithberg",Tom,Kay,Single,W34 7XD,Female,2007,15,26-02-2007,c5913347151422476997
126,"Flat 62
Arthur rapid, Port Gillianland",  Mitchell,West, , b84 9tl, ,1948,74,01-04-1948,c2159936014124169652
127,"Flat 74
Dorothy fort, Hussainstad",Mrs Marion,Wilkinson,MarriOed,B0C 4XX,Male,1978,44,07-03-1978,c7085127283480085341
128,"8 foster glens, port marionfort",Mr Megan,van-evans,Divorced,N22 2RT, ,1993,29,02-04-1993,c2523027381554507184
129,"0 Walton flat, Port Rickymouth",Mrs Geraldine,Evans,NAN,AL27 2BG, ,1995,27,16-09-1995,c5866931600935010371
130,"Flat 24
Parker trail, North Matthew",Matthew,Scott,Single,S3 2QU,1,2010,12,31-01-1945,c6594841363789628826
131,"Studio 78O
Lindsey isle, New Johnfurt",Mrs Kieran,Foster, ?,B8 8WB,Female,1961,61,01-06-1961,c7966091885870796539
132,"Studio 39H
Mohamed mountains, North Chelsea",Julia,Van-Davey,Civil partnership,L7 2FX,Female,1935,87,25-07-1935,c7362905876480443178
133,"180 Michael branch, Hardington",Mr Ruth,Jones,Divorced,M7 3GA,Male,1992,30,28-11-1992,c7575793611932082911
134,"Studio 16
Gregory bridge, Oliviaton",Phillip,Hill,NAN,PO6X 2NH,NAN,1975,47,07-05-1975,c4680054411503903642
135,"Studio 83K
Cook inlet, Gordonton",Mr Samuel,EvaCns,Single,M41 8JD,-9,2018,4,29-12-2018,c7195218732202204094
136,"Studio 17
Thomas rapid, Daveyborough",Mr Wendy,Bart?lett, ,WA6 4NH,-7,1997,25,01-10-1997,c4444196228061882510
137,"Studio 48G
Chloe lights, South Annbury",Ann,Wilson,Single,N50 1QY,Male,2018,4,05-08-2018,c5164224675506805172
138,"81 warren knolls, south katHeRineborough",Leah,Price, ,GY66 8US,Female,1993,29,25-11-1993,c3286525750074548631
139,"Flat 06
Valerie spring, East Mollyland",justin,Bolton,Divorced,W15 6AS,M,1956,66,08-01-1996,c1590534699672519631
140,"48 Allan drive, Josephport",Mrs Shane,Van-Griffin,Single,M6 7ZL,Male,1964,58,02-02-1964,c1194006818128447131
141,"Flat 32x
Hill creek, O-wenport",Oliver,Roberts, P,l5u 3hp,1,1997,25,08-09-1997,c6109024271550342754
142,"Studio 12z
Stokes meadow, West Jeremyside",mrs ga9rry,Cook,Singl3e,"B0 ,3FA",Female,2011,11,02-01-2011,c6427402121125874835
143,"394 Leslie landing, Port Hayley",Allan,Holmes,Single,B58 8NS,F,1968,54,-7,c1066323826528496310
144,"6 Murray fords, South Liamview",Mrs Philip,Lloyd,divorced,S7 2DQ,-9,1997,25,08-10-1997,c7528680379936447062
145,"768 Jacob cape, Boyletown",Mrs Jonathan,Tucker,Single,CH3E 4HT,M,2005,17,10-10-2005,c1543014642089195190
146,"Flat 10
Rita overpass, Baileymouth",Jordan,Van-Burrows, ,CO85 4UH,Male,1968,54,19-04-1975,c1621658253215657428
147,"0 Henry harbors, New Irene",Kathryn,payne,Single,L90 8JR,F,1968,54,22-02-1968,c1289733399550728998
148,"212 Ward fords, Port Liam",Mr Marie,Smith,Single,N83 1AB,F,1957,65,02-09-1957,c4047664945317613761
149,"932 dunn garden, New geraldiNeshIre",Mrs Allan,Hunt,NAN,L92V 8RL,M,-9,45,14-12-1977,c5742253196328809747
150,"Studio 31
Pearce knoll, Rebeccahaven",Mr Graham,B9aker,Single,HS6R 8ZR, ,2000,22,06-06-2000,c3568499420235423533
151,"3 Faulkner alley, LaIke Garry",Mr Joanne,Dawson,single,s1e 7ga,Female,2018,4,14-08-2018,c5477158518784401575
152,"059 Thomas drive, Liamberg",Peter,Flynn,Married,W15 6AS,Female,1938,84,19-11-1989,c5973555194632091962
153,"Studio 76
Wheeler mall, New Bernard",Ross,tayloR,Divorced,KT34 8JZ,Male,1993,29,23-09-1993,c7671749786688761967
154,"Studio 50z
Fletcher points, EEast Eric",Ian,Mills,Married,RM51 8XW,Female,1980,42,07-03-1980,c9138547350118194294
155,"Flat 5
Cheryl meadows, South Amanda",Mr Stanley,Davies,Civil partnership,E1W 4ET,NAN,-9,41,10-05-1981,c6314614391611580762
156,"7 Declan causeway, East Oliviaberg ",Jessica ,Holden ,Civil partnership,LS1X 8SU ,Male,1951,71,15-12-1951,c3241253935836887033
157,"83 Stokes crossing, Port Tony",Mrs Martyn,Butler,Divorced,SM3 0ST, ,-9,47,18-02-1975,c5362405364023218591
158,"studio 85k
thomAs fIeld, sianton",P-eter,Barker,SIpNGle,TN6R 3ZW  ,F,1952,70,10-07-1952,c4754465495130578845
159,"  Flat 58E
Newton course, Robinhaven",Mrs Ronald,LQord,Single,fk16 7eh,1,2018,4,20-03-1972,c1870001950823724127
160,"35 Armstrong estate, Port Jaystad",Leanne,Der-Bell,Married,W2W 5PY,F,1950,72,26-02-1950,c7078043091272496427
161,"044 Graeme view, East Anne",Mr Richard,Allen,Divorced,G1A 0YL,NAN,1972,50,12-06-1972,c4267818305575542483
162,"Flat 82
Aimee extensions, Rhyston",Hilary,Harris,Single,PA1 1DB,Male,2020,2,14-01-2020,c4791749267059615249
163,"Studio 21c
Kim wells, North Tony", Mr Donna,-7,single,IV13 2TP,Male,2020,2,27-09-2020,c8967487686993702323
164,"79 Ellie walks, Declanport",Darren,Holden ,Single,S66 2RB,Male,2014,8,25-07-2020,c1499640983263426330
165,"87 Black view, Port Timothy",Mrs Jodie,-7, ,e5e 6Bf,Female,1989,33,15-03-1989,c7027063043125517923
166,"Flat 74D
Baxter garden, West Debra",-9,O'Sullivan,single,G9 9SP,Female,2021,1,18-09-2021,c6959956246339666000
167,"61 Harris key, Port Nathanfurt",Mrs Ann,Fletcher,Single,DN68 8ND,Female,1953,69,19-03-1953,c1559053245980469742
168,"studio 39
rose view, new lesley",DIana,Van-Bruce,Ma-rried,mk0N 6xw,1,1939,83,19-09-1939,c7716584848373461050
169,-9,Sandra,Porter,MarrieZd,G1W 0TJ,Male,1982,40,07-07-1982,c8384162554200492295
170,"292 Brookes islands, Taylorchester",Dawn,Coleman,Married,G7G 5UB,-7,1957,65,25-11-1957,c2007828935999132254
171,"Flat 02
Eileen flat, Elliemouth",Rhys,Manning,Civil partnership,M9 9SR,Female,1973,49,05-06-1973,c2767106501927235844
172,"Flat 90e
Heath crest, Brownmouth",Allan,Evans,Married,m7 3Ga,Female,1959,63,12-11-1959,c5946363004958640111
173,"Studio 32
Craig unde.rpass, Port Shannonberg",jAsmine,Roberts,Single,L8 e8eN,NAN,2010,12,19-12-2010,c2292953494970979965
174,"84 Hopkins bypass, Joneston",Mrs Max,Hudson,Divorced,BA18 2QE,Female,1958,64,08-09-1958,c2692378448292507489
175,"Studio 0
Anderson spring, North Stacey",Mr Tina,Baker,NAN,-7,F,2000,22,11-12-1978,c5266990816533068825
176,"Studio 6
Kenneth points, Marianshire",Domin\ic,Shah,Married,S20 5ZS,Male,-9,72,24-10-1950,c9065709297447948479
177,"23 Cameron neck, BaileytowUn",Sian,Taylor,NAN,WC3 1FG,F,1952,70,17-03-1952,c1695302883601228412
178,"Studio 0
Francis shore, West Lukeview",Garry,PalmEr,divorced,LL2M 4PT,1,1981,41,29-05-1981,c8452689775761359924
179,"1 Gary center, Robinburgh",Lee,Ellis,Single,N10 8QP,Female,2020,2,25-09-2020,c8894901096412438503
180,"564 Ryan flats, Griffinmouth ",AntDhony ,Carr ,-9,MK04 7HX ,Female,1957,65,17-01-1957,c1903048633335815843
181,"Studio 6
Suzanne mall, South Karenfort",Kim2,Hall,di-vorced,-7,M,1959,63,21-06-2011,c7014974962370304856
182,"Flat 1
Evans court, Port Ashleighland",Mr M.arcus,Holden, ,L3H 5AA,Male,1941,81,26-07-1941,c5986043618575841749
183,"8 Dickinson circle, Mooremouth",Mrs Gordon,Begum,Married,NE7H 2JA,M,1963,59,17-08-1963,c1136117155107563376
184,"flAt 0
johnson brIdge, murphyside",Deborah,Flynn,NANT,RH13 9ZU,Female,-9,30,15-06-1992,c1860197269680432003
185,"Studio 50m
Brett walks, Lake Carlstad",Kenneth,Wilkinson,Divorced,CV9A 3AX,F,1960,62,22-08-1960,c7950414977729979113
186,"Studio 8
Harding meadow, Davieshaven",-9,Adams,Married,TW60 5JZ,NAN,1987,35,27-03-1987,c3180215975365058469
187,"studio 90f
jason Grove, thomasstAd",mrs abbie,"Fu,ller",SingKle,SP4 1DS,Female,2007,15,28-10-2007,c4748508080679378274
188,"  77 Rachael overpass, East Jasmineborough",  Harry,  Richards,Civil partnership,  S99 7SZ,Female,1987,35,22-11-1987,c5439747823840459287
189,"6 Payne vista, Melissaborough",Mrs Nathan,-7,Single,CV0E 2LL,-7,2009,13,19-04-2009,c8974992273672250497
190,-9,caroline,Jones,Civil partner-ship,LE08 1BB,Female,-9,73,12-07-1949,c2518509413151980240
191,"Studio 33
Emma port, Evanshaven",Carole,Harrison,Married,WA2A? 6NR,Male,1937,85,25-06-1998,c1019879803218059747
192,"82 Ricky estates, Lake Jeffreybury",  Mr Oliver,Van-Williams,Divorced,-7,-7,-9,87,21-07-1935,c4601005116112319304
193,"Flat 02V
PameNla summit, South Arthur",mr clIvE,Holden,Single,gy5 6uq,Male,2015,7,03-09-2015,c8241540152638101958
194,"4 Clare gardens, Deanf/urt",Mr Harry,Smith,Divorced,IM5 4YB,Female,1994,28,22-03-1994,c3630959773343509946
195,"Studio 47B
Judith plains, New Denisburgh",Mrs Joanne,H-odgson, ,E5 3DU,-9,1946,76,25-11-1946,c7424922582986405866
196,"6 coateS commOnt, sOuth frank",HoIllie,-7,Civil partnership,WN5 0ZE,Female,1947,75,-7,c7737722300374893763
197,"090 sharpe turnPike, north damIanview",Lucy,rIchards,Single,M10 7FSX,Female,2014,8,20-11-2014,c8225234812717761917
198,"188 Gail trail, Lake Melissaburgh",Mrs Tracey,Der-Cartwright,NAN,AL4 9RQ,2,1966,56,03-09-1966,c7104685303661253940
199,"685 Marion wells, Lake Ricky",Mr Colin,Thomas,NAN,BR3 9GF  ,-9,2002,20,05-07-2002,c5488751533376772810
200,"Studio 10h
Ian brooks, South Caroleview",Ian,Der-Hughes,Married,BA20 2BR,Female,1973,49,12-10-1973,c2751498684859728855
201,-9,Mr Samuel ,brOokS ,Married,HP2Y 0FT ,Male,1986,36,13-07-2005,c3007936339306416978
202,"8 Foster mission, Glennside",Mrs Pamela,Evans, ,g5 1qd,F,1937,85,22-03-1937,c1539413171727586886
203,"  03 Rachael gateway, Melaniemouth",mr CherYl,Hodgson,Civil partnership,-7,Male,1991,31,08-03-1991,c7785977695135410368
204,"Studio 80X
Spencer pine, Arnoldport",elizabeth,Sullivan,Civil partnership,S0U 0FT,M,1960,62,21-06-1960,c1562234332594130448
205,"523 Lynn gateway, Coxstad",KayleIgh,Hall,Single,S05 0ED,NAN,2005,17,11-02-2005,c3892493888172020635
206,"7 Mann crest, Lake Glenn",Emma,Kelly,Single,e43 5qh,Female,1942,80,21-01-1942,c1462481395779002923
